"DHSCLUST","LONGNUM","LATNUM","ALT","EVI","LSTD","LSTN","NLIGHT","POPDEN","RDIST","RFALL","WDIST","URBAN_RURA","GRUMP","LCType"
117,5.270134,13.04628,0.477156242887719,-1.43492918822292,1.63178957987728,1.45940844423107,1.4231959480635,0.252800211864853,-0.59428034109842,-1.10461922856431,0.0625079415236007,"R",1,"crop"
118,6.820543,12.162603,0.977409082546995,-0.344290702715672,-0.115838631062789,0.913360219418269,-0.325496899510417,-0.33836717187789,-0.250768712949357,-0.530991251102088,0.145562530858176,"R",1,"crop"
119,6.628641,12.535684,0.694792281920107,-0.549495787135271,-0.129953242614771,0.864509974618941,-0.195321573832667,-0.290539288628859,0.84087591108832,-0.795274747308982,-2.45681055765949,"R",2,"crop"
120,6.835759,11.720231,1.02372189622805,-0.0635889906433244,-0.393291753982908,-0.352768799664445,-0.877833920491156,-0.34459125255706,0.782509699149533,-0.301417313922166,0.558987948330767,"U",1,"crop"
121,7.592014,5.804339,-0.440150051462842,1.19891712519647,-1.45567376691684,0.447942364072582,-0.877833920491156,-0.339917625496343,0.573777846480098,0.675816776085022,0.0652132222510315,"R",1,"crop"
122,7.366824,5.294386,-0.27774575343406,1.14556136173803,-0.639287462972079,-0.442800277694983,0.508731654253575,-0.288600213945447,0.209121974880208,1.12652429130868,0.875544997063935,"R",2,"crop"
123,7.408782,5.123332,-0.616593432266399,0.172125580202303,NA,-0.121676814946313,1.11850372391712,-0.220541340249969,-0.100128033085267,1.34465241082788,0.252594177546764,"R",2,"urban"
124,7.276959,4.943722,-1.10182885419394,0.777223814531304,-0.587783278575175,-0.826554691625837,-0.877833920491156,-0.306372278516054,0.091337826690241,1.81169992456558,0.739077270414615,"U",1,"crop"
125,7.368509,5.07848,-0.766412776850281,-1.71321834411647,-0.129153143317466,0.217293058281363,1.34875652922408,0.445141101253662,0.169459681338839,1.43073745726014,0.239650046693854,"U",1,"crop"
126,7.329655,5.265571,-0.356062379217978,-0.0740092731259721,-0.485652231564627,-0.636078708529952,0.58506002519151,-0.232741267293675,-2.55126701841707,1.17112921478649,0.628479223535418,"R",1,"grass"
127,7.452823,5.541505,-0.249367159278903,0.905133476576974,NA,-0.266860496853854,0.876700958514753,0.0765346139877494,-2.55126701841707,0.873845371940317,0.473971428870474,"R",1,"crop"
128,6.995332,6.071721,0.412425441134637,0.834102906420543,-0.121320437305095,-1.97383720253509,0.785328503888052,0.0045189791641467,-0.165539015269353,0.353838026666025,0.583110706479255,"R",1,"crop"
129,6.814762,5.884801,-0.625711764941902,0.485910720531316,NA,0.52660294363356,0.541090047795453,-0.130414947565212,-1.1803267561187,0.663756677350099,0.0627045793323312,"R",1,"crop"
130,7.029983,6.104241,0.253168541660907,0.158413677966328,-0.492460114850118,0.277804358046283,0.825886922218998,0.243480633344079,-0.222548866140178,0.293794830819217,0.343458376628826,"R",1,"crop"
131,6.960708,6.516487,-0.878745646217746,0.696068952570854,NA,0.856821608212656,0.421650747031443,-0.224790539028492,-2.55126701841707,-0.106580487191182,0.0877004106776918,"R",1,"crop"
132,6.981079,6.077368,0.315826709006244,1.01641754378878,NA,-2.07375316473688,0.794907490060727,0.162861708234518,-1.09249009312114,0.349146390884356,0.381866893928652,"R",1,"crop"
133,6.833928,5.931052,-0.77656013480937,-0.140217694008607,NA,0.301296965486501,0.879906062186581,-0.0801923123694461,0.438628617961128,0.588644202619056,-0.425561052796473,"R",1,"crop"
134,6.904532,6.02423,0.037391331384387,-1.16323448064512,NA,-2.3474968373122,1.21127789994193,0.2352646986221,-0.286024607891709,0.442637138521178,-0.0837770997758852,"R",1,"crop"
135,6.775678,6.142777,-1.24321804803708,-2.87208382464451,0.279428122787933,1.29913339044605,1.71331583019466,2.58642236514029,0.253850681333519,0.303581208196137,-0.208405156552954,"R",1,"crop"
136,6.884398,6.176059,-0.182125277735896,0.659906023795531,NA,-0.291056288433467,0.86882429553237,0.0244012977122801,-0.29368277526446,0.236004315510056,0.83716683422174,"R",1,"grass"
137,7.832354,5.765176,-0.000277766200254114,1.08832934972765,-0.587220488346272,0.503579533817504,-0.822722729264575,-0.25762264541449,0.296441059753876,0.780318832111251,0.989989219619291,"R",1,"grass"
138,8.070874,6.005484,-1.14251976672867,1.07921734030372,NA,0.791658720477016,-0.877833920491156,-0.317716195862381,0.649956101556619,0.745951223019202,0.870131596592444,"R",1,"grass"
139,7.582331,5.96377,-0.811823159807715,0.972925930978213,0.058778656040151,0.503476517562784,0.615333682873157,-0.219564128430739,0.695483857232458,0.551566937397196,0.158296330807986,"R",1,"crop"
140,7.807239,5.986411,-1.0084922855593,0.908314429337689,-0.266919705420239,0.545569732682686,-0.877833920491156,-0.301906040375045,0.908607952594126,0.632672902275186,-0.306969814142633,"R",1,"crop"
141,7.774852,6.130823,-0.486349935529647,0.257515157954855,NA,0.549224455224999,-0.877833920491156,-0.284324375201538,-0.292567661153663,0.5314857747726,0.657831835007762,"R",2,"crop"
142,8.119307,6.020529,-1.21702597091027,0.869291350419072,0.159412878942378,0.673425952399032,-0.877833920491156,-0.263440629888962,-0.339542449323204,0.754195725915377,0.551711729641569,"R",1,"crop"
143,7.380499,6.400117,0.668817621532343,-0.774562380374358,NA,-0.717375424708121,0.675334278207746,-0.311076367035105,-2.55126701841707,0.182176104565817,0.198432015901894,"R",1,"crop"
144,7.429002,6.956676,0.605670924768775,0.46944999891679,-0.37944425339478,-1.02449185435111,-0.49034930621215,-0.085806819465887,-0.311047787202225,-0.15322177249114,1.15940895623683,"U",1,"crop"
145,7.532193,6.288412,0.0343632503899153,0.730229460270339,-1.25168103942624,-0.219625317811023,0.639989032769999,-0.261600209734147,0.446501903947698,0.31838139180221,0.518385699763696,"R",1,"crop"
146,7.387271,6.31821,0.712429034247987,0.779952269991961,-0.553138374554829,-1.39126835778235,0.808870176268452,-0.292335094817589,-0.19850975990248,0.233350194280466,0.453750078286735,"R",1,"crop"
147,7.501441,6.443654,0.171318449407029,-1.14649564424353,NA,0.417032735279063,1.86485237273868,0.51428580325791,0.331511079485153,0.215970141832611,0.202712167886027,"R",1,"crop"
148,7.529082,6.408199,0.0302863748685398,0.599242029777824,-0.268185156123866,-0.238705925188417,1.21213992359341,0.169527444544237,-0.782940366783087,0.249586682257627,0.492727934678055,"R",1,"crop"
149,7.482435,6.348039,0.211147798870719,1.19182164932934,-0.494620828069628,-0.468043133405296,0.803836507047149,-0.264805789166719,0.0799551277102938,0.268000753054659,0.0922293241291163,"U",1,"crop"
150,7.45601,6.849821,0.791370135042031,0.550655104562824,-0.587182208331174,-1.37172827759005,0.594136797237773,0.0310317460379577,-1.21304586898906,-0.0757139404167202,0.93469773385162,"R",1,"grass"
151,7.214347,5.530585,-0.0462766738113711,-0.435728820832015,-0.830744106025743,-0.666276311205429,0.552285606406716,-0.199741526604541,-2.55126701841707,1.0229498738515,-0.223123382203921,"R",1,"grass"
152,7.368038,5.48118,-0.621641020114847,1.24390152714582,-0.426525176213393,-1.00915373093693,0.395234610020675,-0.189528521476426,0.524355900887009,0.961671935247656,-0.724478756408077,"R",1,"crop"
153,7.412635,5.648897,-0.501636986876285,1.47035359210933,-0.635668566823769,-0.553598602611046,-0.76318144993617,-0.223174067750263,0.332609244073293,0.799600865072209,-1.08847676298652,"R",1,"crop"
154,7.108554,5.666752,0.0596950902800815,0.359535230022802,NA,-1.25181205252379,0.558809292194649,-0.121331681970983,-2.55126701841707,0.930619475811222,0.0328945626602323,"R",1,"crop"
155,7.051812,5.659154,0.00135405958632513,0.379899835903698,-0.22675098089244,-0.310399809711738,0.631065077971076,0.216172278880673,-2.55126701841707,0.963598219345497,-0.0203433727342474,"R",1,"grass"
156,7.086983,5.665886,-0.00020287851058666,0.929316890911717,NA,-1.13831815790319,0.565092404004984,-0.0455504775752028,-0.258220762793519,0.943158332144894,-0.86226839256412,"R",1,"crop"
157,6.815875,5.456439,-0.720613541067012,0.742212482090348,-0.765869399700495,-1.23421948183921,-0.877833920491156,-0.344993056918398,-0.0892153849686945,1.25903888059876,0.550887784554435,"R",1,"crop"
158,7.036544,5.746929,0.0616043168797454,-0.361107525349927,NA,-0.889147425674055,0.592354932804326,-0.132818205162805,-0.648757403087536,0.838438948485187,-0.198023408075437,"R",1,"crop"
159,7.198319,5.840097,-0.178287559639844,0.683926417903415,-0.494480431817955,0.175572429780064,-0.0211554728248455,-0.259958745771299,-0.113704684667304,0.667165651893465,0.474843377704096,"R",2,"urban"
