"DHSCLUST","LONGNUM","LATNUM","arabiensis_crop","EVI_Sept_2011_crop","GHA_alt_crop","GHA_popden14_crop","GHA_Roaddist_crop","GHA_waterdist_crop","LC_2011_crop","LST_Day_crop","LST_Night_crop","Nightlights_crop","Rainfall_Sept11_crop","URBAN_RURA","LCType","GRUMP"
108,-1.545766,6.674774,0.67290509416419,0.399554963097556,0.78189181142303,1.76260681239109,0.552509189984233,0.372062867414294,0,0.134860667316332,-0.269881467257306,1.19707487875215,0.761883206398476,"U","grass",2
109,-2.736487,10.992965,0.7188056462145,0.376072274971373,0.861150273870335,0.0731172093677092,-0.643536469628584,0.0640865162539348,1,1.34118362315888,1.15569318233545,-0.777291044831742,0.187513304398609,"U","crop",1
110,0.231155,5.954047,0.661751130136954,0.922194053041506,-1.57270116448387,-0.773058349573753,-0.231722956601365,-0.0786354671837596,0,0.966187841439789,0.832657787055283,-0.85764582706454,-1.40564185801243,"R","grass",1
111,-0.212773,5.944213,0.485985979296371,0.324417163723439,0.336719795138914,0.307830217616076,-1.45151383009562,0.48634733990735,0,0.41746549278249,-1.13171988001986,-0.446495492960325,-0.651463833369024,"R","crop",1
112,0.041253,5.691434,0.71537945587111,-1.52677797739435,-1.91373884817551,0.496274877785685,0.373696008561652,0.445394456294719,1,2.02963508488131,0.0914693369006674,1.41286258984575,-1.50676125906432,"U","crop",2
113,-1.779983,4.906708,0.474959485996689,-0.935078924328521,-1.91405513331453,-0.232272852242897,-0.343075036315086,0.00800962670717226,1,-1.43700894838478,0.0350044329858586,1.74543890436305,-1.00705781875918,"U","crop",2
114,-1.632318,6.656801,0.343613811257975,-0.605076740977578,0.744318580767758,1.86843986941369,0.300444037746907,0.815143200666838,0,1.43507792906946,-0.317723034588282,1.87802910711052,0.939877547375594,"U","urban",2
115,0.045813,9.982461,0.268083208246226,-0.169200483600514,0.491040458125083,-1.16374911782613,2.03597803842926,0.426024608646679,0,0.881598956512966,0.633330456422757,-0.957599443606855,0.544706946956221,"R","grass",1
116,0.055588,6.151921,0.582843351741409,-0.934358601716726,-1.3418067820114,0.794184148321999,-0.826546857239122,-0.330978639166009,0,-0.313743173341179,-0.943868093426475,0.558266807851325,-0.718393002736677,"U","crop",2
117,-0.326817,5.522098,0.46232108280717,-0.589910020749095,-1.47185074989679,0.4897270756568,-0.822053714471345,-2.5014870135137,0,-0.0620913874337964,-1.54592411886077,0.829555683455793,-1.44453095187144,"U","crop",2
118,-0.57891,6.308755,-3.05116548162778,2.28975079403967,0.762579048389149,-0.621302102198376,0.119325934648208,0.841815988080678,0,-0.93950427139988,-0.916764294475821,-0.465341402814885,-0.342524563504294,"U","forest",1
119,-1.062457,6.208105,-1.01204313931789,0.634732711555781,0.218197625228954,-1.12247755982115,0.0838302730537518,-0.0521151261626047,0,-0.66581505280139,0.0323102748148191,-0.799572246663287,0.108138063974739,"R","crop",1
120,-1.746236,4.913044,0.593371776557144,-2.08530383603002,-1.98206794681535,-0.291260556015244,-3.01817902659795,0.693357722914668,0,-2.21926716236349,-1.22490466390371,1.32750025115058,-1.00705781875918,"U","grass",2
121,-1.305518,5.155128,0.560012832665613,0.624150444102021,-1.12969215234561,0.172747366687252,-0.0449467039613649,-0.143077418688957,0,-0.729713979944038,-0.986171899456137,-0.112412522266112,-1.12785158086061,"R","crop",2
122,-1.948946,7.578641,0.0271429351841867,-1.35569179471705,1.16435396828395,-0.297613957516314,-0.580969222698477,-3.56860820540249,1,-0.177465682635284,0.489256782775148,0.707222395017594,0.855440282702988,"U","urban",2
124,-0.351752,5.621034,0.505570403704242,0.936280601024519,-1.730168220363,-0.742171031037484,0.138483015383318,-1.17662558823541,0,0.233166076303387,-0.494041694045351,0.00625953737005437,-1.41370318129199,"R","crop",1
125,-2.577528,7.443561,0.113077002935912,1.9273084696679,0.957112500822041,1.27582280154089,-1.15392433801504,-0.50009440166743,1,-1.35237514350068,-0.387755300696638,0.694698442876998,0.669485989937298,"R","urban",2
126,-0.758292,5.268589,0.559670405357947,-0.877576942826899,-1.61574492188889,0.130840584269789,0.886196936490212,0.331120280068863,1,-0.967198661135208,-0.557132980542348,-0.325158528483263,-1.76967068167582,"U","crop",2
127,-0.027497,5.682693,0.715500331625621,-1.98602512408144,-1.23633639503447,2.00508056656283,-0.501039258175026,0.785790989205481,1,1.04583313481561,0.623079954011076,1.69249433315389,-1.56073781146885,"U","urban",2
128,-1.946618,7.592999,-0.102567491429406,-1.41487288536453,1.18754049949916,1.38528851897761,-1.59703158408536,-0.496547025817439,1,-0.41548284120451,0.323484514086511,0.808974271427615,0.85333062039565,"U","urban",2
129,-0.223934,5.59396,0.693832538769018,-0.78008189162451,-1.44576440786347,1.52582877453074,-0.926159433158561,0.688666985267049,1,2.01302732798762,0.510928936023492,1.97790483496462,-1.57302503182727,"U","urban",2
130,-0.567755,5.57275,0.613032288151139,-0.145770296891751,-0.0578127865770402,-0.236652194911905,0.821739643981211,0.445165995044181,1,-0.0692849202246135,-1.68013958318999,-0.760094784989984,-1.35437402205527,"U","crop",1
131,0.762386,6.100357,0.667685200267045,0.779286151418275,-1.77077278186902,-0.356683048859666,-0.733080720808347,-0.0736281700763678,0,1.88701348222526,-0.409970033022444,-0.597303831713345,-1.41742748695297,"R","crop",1
132,-1.149427,6.017932,-1.12774541654358,0.893957422333066,0.103173735230179,-0.732300455051516,-0.249671059214935,0.803314948292567,0,0.0205201330777144,0.0860506645345338,-0.722473174435095,0.0502187269653353,"R","crop",1
133,-2.093907,7.817969,-0.401870219572199,-1.21674353955038,0.878800936303889,-0.828794955293962,-0.147503321442175,-0.0854051132007215,0,-0.511993977342,0.449388979389489,-0.818248404524432,0.775357078620557,"U","crop",1
134,-2.086953,5.790651,0.0148718071047214,1.43316241654768,-0.365785960894522,-0.288599038059993,-0.421239621132447,-1.02412667437529,0,-0.919372969949716,0.479126085919983,0.00430785701310879,0.701854681864575,"R","crop",1
135,-1.98716,7.526111,-0.150255282184545,-0.206100495220344,1.1094878362086,-0.673929536657672,0.925773930714841,0.490070645030941,0,-0.825432294318927,-0.534329146152407,-0.881041557043546,0.875420777554054,"U","crop",1
136,-0.151667,5.592808,0.696992506627808,-0.601057711576561,-1.02549031295728,1.1443041685747,0.832443025402277,1.27921312466485,0,-1.44169342853053,0.853687761256383,1.50022477060636,-1.63698453083258,"R","urban",2
137,-0.790541,10.97048,0.724509934962017,0.23955309177758,0.720928187876682,-0.198636879379385,-0.0963795380201316,0.677736468295955,0,0.846297718664984,2.66365515515914,-0.907809308815645,0.968859774835072,"U","crop",1
138,-0.252729,5.616851,0.739003784836018,-1.48528428045711,-0.797576585128075,1.65148823325798,0.526607231096543,0.0456053477213557,1,2.70953481866601,0.650502395947979,1.78711036044066,-1.53914031675317,"R","urban",2
139,-2.668455,10.078764,-0.236900573638662,-0.529927235244039,0.898071481453143,-0.972852153692519,1.07933887943805,-0.034392667769628,0,-0.190521716628008,0.659733478338074,-0.887031586061106,0.573411194889467,"U","grass",1
140,-2.13613,6.286058,-0.674803053713115,-0.0172569871542054,0.51598705834499,-0.111564151198018,0.653136036606082,0.720645837820622,0,-1.17069851925195,-0.404268459580131,-0.804241377354543,0.0910534312780735,"R","crop",1
141,-1.985031,5.296669,-2.24908110348593,-0.744946198357235,-0.301714958336651,1.27912331568163,-1.31858746415331,1.07425942788258,0,0.124602880713561,0.450426711459519,1.19899863390018,-0.580137022370386,"R","forest",2
142,-2.709933,10.508609,0.610617176075982,-0.837505813036559,0.876308938142766,-0.92954255583518,0.15791796707204,0.60312772071502,0,0.650113035366005,1.79188890686963,-0.858855828609962,0.171212567644293,"R","crop",1
143,-3.003925,6.301475,0.49072394624071,1.08240995060874,0.231449621097588,-1.08169563339807,0.121343504443444,0.736130972092979,0,-0.370376998491977,0.222373867488894,-0.779070340417539,-0.337888195811534,"U","crop",1
