"DHSCLUST","LONGNUM","LATNUM","ALT","EVI","LSTD","LSTN","NLIGHT","POPDEN","RDIST","RFALL","WDIST","GRUMP","LCType","URBAN_RURA"
67,-0.608846,11.179037,-1.32223464785561,-0.113365564518472,1.02400385371935,1.16340123550111,-0.526848632501924,-0.187988583903459,-1.87124843763736,0.39283773028306,0.291317772046084,2,"grass","R"
68,-0.561151,11.208703,-1.24387352993263,-0.0696518830109805,0.431633533542862,1.43114913936265,-0.526848632501924,-0.298240517227294,0.218422047910861,0.372632318954631,0.489520755854934,1,"crop","R"
69,-0.393244,12.428669,-0.376266548895025,-0.66399382153498,0.887000436928369,0.87908814157707,-0.526848632501924,-0.34219407909112,0.428973440050186,-0.170284730513167,0.331648945847845,1,"crop","R"
70,-0.426713,11.8966,0.0342300076705439,-0.0751152487853512,-1.09512485331852,0.421714466585419,-0.526848632501924,-0.321748123227412,0.765622458366502,0.443991593746658,-0.237035182054011,1,"crop","R"
71,-0.426437,12.337625,-0.0323642803228181,-1.17310684610078,0.465412873439782,0.0752440779697558,-0.526848632501924,-0.585472891978906,0.429080845790187,-0.0335723072012898,0.642471762244166,1,"grass","R"
72,-0.342269,12.208058,0.322536482982688,0.160744471544539,-0.709723359195195,-0.236623131271076,0.573320961384716,-0.262842764631569,0.536367567406276,0.191380673459971,0.520600151337546,2,"grass","U"
73,-0.433975,12.298837,0.0967820703867398,-0.527012670603699,0.0420130698347295,-0.312361992434702,-0.13201866977809,-0.585472891978906,0.217210864480869,0.027229218766702,0.608185656938023,1,"crop","R"
74,-0.423362,12.222853,-0.0585352442976087,0.342727322172148,-0.464961033821431,0.309810604307593,1.08289733108243,-0.592475583372207,0.217297780740845,0.136481408948125,-3.0433531275994,1,"crop","U"
75,0.066645,11.679014,0.225615250350349,0.429860083497982,-0.432480256191646,-1.4892925422364,-0.526848632501924,-0.423449601743991,0.814688389239991,0.389733458889868,0.648997818131205,1,"crop","R"
76,0.141124,11.352207,-0.318100217682137,0.562364555312898,-0.969929613603294,-0.494488588827331,-0.526848632501924,-0.457658407197646,0.43019050112125,0.581395447788566,0.489451771669797,1,"crop","R"
77,0.264183,11.097152,-1.79544396830029,0.0616340002684436,1.7869423122392,-0.108227658231684,-0.526848632501924,-0.201081897727421,0.733569383404297,0.888962391089005,0.547250217176228,1,"crop","R"
78,0.076965,11.21839,-0.570168413635676,0.0800038354235832,0.347093746620373,-0.400415781875181,-0.526848632501924,-0.261109852608691,0.219574134946433,0.680625571026129,0.505784726837422,1,"crop","R"
79,-1.553203,13.044047,-0.135795796818439,-0.416419485532587,0.747001274990697,0.862450327476531,-0.526848632501924,-0.261868786681602,0.323904425037617,-0.425379035868812,0.42396317490846,1,"grass","R"
80,-1.549066,13.454613,0.735229147474735,-1.35454182240513,1.73854847781682,0.247670078760405,-0.526848632501924,-0.374601660568184,-1.87124843763736,-0.922254452690235,0.0451505939954247,1,"grass","R"
81,-1.52915,13.242897,1.29701255635887,0.598679072082491,0.358561805864664,-0.177639113873684,-0.526848632501924,-0.35111275277894,0.32378131670008,-0.575671913913691,0.379947910701042,1,"crop","R"
82,-1.465167,13.563943,0.345516797221847,-1.59587081832036,1.20181944877195,-0.556121367821717,-0.526848632501924,-0.428328161253378,0.63957872248665,-1.16351994477872,0.429732149922781,1,"grass","R"
83,-0.581365,12.664089,0.249839261459478,-1.06990234288545,0.645529766411277,0.0207218316151722,1.13129595233393,1.12432197854991,-1.87124843763736,-0.36753094501438,0.89213254028752,2,"crop","U"
84,-0.546823,12.691129,0.791828094556704,-0.986778348896927,1.28896364387434,0.612299257862108,-0.526848632501924,-0.412945421771488,0.552672430488398,-0.411046471415535,0.85845991389036,1,"grass","R"
85,-0.60363,13.769688,0.360046777023687,-0.789511570161561,1.36190372768249,1.18699837327445,-0.526848632501924,-0.509981000803638,0.551313108564769,-1.74182799919121,0.728872151040128,1,"grass","R"
86,-0.540579,13.131325,-0.49462670863033,-0.012911719021284,-0.177638330274785,-0.162592500902459,-0.526848632501924,-0.436212646894101,0.216208184395828,-0.886645712865697,-0.234474533777316,1,"grass","R"
87,-0.420251,13.07401,-0.585835009327109,-0.563549225725599,1.56974020510856,0.229631005714538,-0.526848632501924,-0.442651216499096,-1.87124843763736,-0.9354888216722,-0.0943412446727897,1,"grass","R"
